WILAYA_CLEAN,COMMUNE_CLEAN,ZONE_RPA,capital_total,nb_polices,dommage_total,risque_moyen,proba_moyenne,CLASSE_COMMUNE
INCONNU,ZEGHAIA,Inconnu,560000.0,1,28000.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,BORDJ TAHER,IIa,5088650.0,3,508865.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,BOURAOUI BELHADEF,IIa,10540000.0,6,1054000.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,BOUSSIF OULED AKSEUR,IIa,4068440.0,4,406844.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,CHAHNA,IIa,16213000.0,7,1621300.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,CHEKFA,IIa,147229600.0,67,14722960.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,DJEMAA BENI HABIBI,IIa,7192000.0,4,719200.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,EL ANCER,IIa,5213050.0,3,521305.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,EL AOUANA,IIa,14724000.0,4,1472400.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,EL EULMA,IIa,5460000.0,1,546000.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,EL KENNAR NOUCHFI,IIa,145699880.0,72,14569988.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,EL MILIA,IIa,3235470.0,2,323547.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,EMIR ABDELKADER,IIa,395885670.0,148,39588567.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,INCONNU,IIa,2183330.0,1,218333.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,JIJEL,IIa,245147310.0,91,24514731.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,KAOUS,IIa,36288910.0,10,3628891.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,KIMIR OUED ADJOUL,IIa,5022000.0,2,502200.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,OUDJANA,IIa,47717150.0,23,4771715.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,SIDI ABDELAZIZ,IIa,45771810.0,26,4577181.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,SIDI MAAROUF,IIa,3096280.0,1,309628.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,TAHER,IIa,1627693720.0,797,162769372.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,TEXENNA,IIa,1369270.0,1,136927.0,0.0,0.0,SOUCONCENTRATION ✅
JIJEL,ZIAMA MANSOURIA JIJEL,IIa,19000000.0,7,1900000.0,0.0,0.0,SOUCONCENTRATION ✅
